league_division,match_date,home_team,away_team,full_time_home_team_goals,full_time_away_team_goals,full_time_result,half_time_home_team_goals,half_time_away_team_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls_committed,away_fouls_committed,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,match
e0,2016-08-13,burnley,swansea,0,1,a,0,0,d,j moss,10,17,3,9,10,14,7,4,3,2,0,0,english premier league
e0,2016-08-13,crystal palace,west brom,0,1,a,0,0,d,c pawson,14,13,4,3,12,15,3,6,2,2,0,0,english premier league
e0,2016-08-13,everton,tottenham,1,1,d,1,0,h,m atkinson,12,13,6,4,10,14,5,6,0,0,0,0,english premier league
e0,2016-08-13,hull,leicester,2,1,h,1,0,h,m dean,14,18,5,5,8,17,5,3,2,2,0,0,english premier league
e0,2016-08-13,man city,sunderland,2,1,h,1,0,h,r madley,16,7,4,3,11,14,9,6,1,2,0,0,english premier league
e0,2016-08-13,middlesbrough,stoke,1,1,d,1,0,h,k friend,12,12,2,1,18,14,9,6,3,5,0,0,english premier league
e0,2016-08-13,southampton,watford,1,1,d,0,1,a,r east,24,5,6,1,8,12,6,2,1,2,0,1,english premier league
e0,2016-08-14,arsenal,liverpool,3,4,a,1,1,d,m oliver,9,16,5,7,13,17,5,4,3,3,0,0,english premier league
e0,2016-08-14,bournemouth,man united,1,3,a,0,1,a,a marriner,9,11,3,7,7,10,4,2,0,1,0,0,english premier league
e0,2016-08-15,chelsea,west ham,2,1,h,0,0,d,a taylor,16,7,6,3,16,16,7,1,5,2,0,0,english premier league
e0,2016-08-19,man united,southampton,2,0,h,1,0,h,a taylor,12,13,5,1,11,8,4,0,0,0,0,0,english premier league
e0,2016-08-20,burnley,liverpool,2,0,h,2,0,h,l mason,3,26,2,5,14,5,1,12,0,1,0,0,english premier league
e0,2016-08-20,leicester,arsenal,0,0,d,0,0,d,m clattenburg,8,13,1,4,11,7,2,7,1,2,0,0,english premier league
e0,2016-08-20,stoke,man city,1,4,a,0,2,a,m dean,8,12,3,6,12,13,7,7,3,4,0,0,english premier league
e0,2016-08-20,swansea,hull,0,2,a,0,0,d,s attwell,13,12,3,4,7,10,8,3,0,0,0,0,english premier league
e0,2016-08-20,tottenham,crystal palace,1,0,h,0,0,d,m oliver,20,10,5,2,19,9,10,4,3,3,0,0,english premier league
e0,2016-08-20,watford,chelsea,1,2,a,0,0,d,j moss,6,13,2,4,20,10,0,5,4,3,0,0,english premier league
e0,2016-08-20,west brom,everton,1,2,a,1,1,d,n swarbrick,11,13,4,7,16,10,7,4,3,1,0,0,english premier league
e0,2016-08-21,sunderland,middlesbrough,1,2,a,0,2,a,m atkinson,18,8,5,3,11,14,8,1,1,1,0,0,english premier league
e0,2016-08-21,west ham,bournemouth,1,0,h,0,0,d,c pawson,15,8,2,5,15,15,1,6,3,1,0,1,english premier league
e0,2016-08-27,chelsea,burnley,3,0,h,2,0,h,m clattenburg,22,6,10,0,6,9,9,5,2,2,0,0,english premier league
e0,2016-08-27,crystal palace,bournemouth,1,1,d,0,1,a,m dean,24,10,5,3,15,10,10,4,2,1,0,0,english premier league
e0,2016-08-27,everton,stoke,1,0,h,0,0,d,m oliver,21,8,9,1,14,11,9,2,2,1,0,0,english premier league
e0,2016-08-27,hull,man united,0,1,a,0,0,d,j moss,8,29,2,9,9,6,1,6,2,3,0,0,english premier league
e0,2016-08-27,leicester,swansea,2,1,h,1,0,h,r east,13,9,6,3,14,10,4,6,2,2,0,0,english premier league
e0,2016-08-27,southampton,sunderland,1,1,d,0,0,d,l mason,16,5,7,2,15,8,5,5,2,2,0,0,english premier league
e0,2016-08-27,tottenham,liverpool,1,1,d,0,1,a,r madley,11,13,4,3,11,17,5,5,3,5,0,0,english premier league
e0,2016-08-27,watford,arsenal,1,3,a,0,3,a,k friend,14,10,6,7,18,15,3,2,6,1,0,0,english premier league
e0,2016-08-28,man city,west ham,3,1,h,2,0,h,a marriner,22,9,5,2,5,10,5,4,1,3,0,0,english premier league
e0,2016-08-28,west brom,middlesbrough,0,0,d,0,0,d,a taylor,13,7,2,2,12,11,5,4,1,3,0,0,english premier league
e0,2016-10-09,arsenal,southampton,2,1,h,1,1,d,r madley,17,11,2,5,10,8,6,1,2,5,0,0,english premier league
e0,2016-10-09,bournemouth,west brom,1,0,h,0,0,d,k friend,12,12,5,2,9,11,10,5,1,3,0,0,english premier league
e0,2016-10-09,burnley,hull,1,1,d,0,0,d,p tierney,13,11,2,3,13,3,5,9,2,0,0,0,english premier league
e0,2016-10-09,liverpool,leicester,4,1,h,2,1,h,c pawson,17,12,11,3,4,8,1,7,1,2,0,0,english premier league
e0,2016-10-09,man united,man city,1,2,a,1,2,a,m clattenburg,14,18,3,6,15,10,4,4,4,2,0,0,english premier league
e0,2016-10-09,middlesbrough,crystal palace,1,2,a,1,1,d,n swarbrick,12,12,4,4,5,9,6,6,1,2,0,0,english premier league
e0,2016-10-09,stoke,tottenham,0,4,a,0,1,a,a taylor,15,20,2,8,13,18,10,8,3,2,0,0,english premier league
e0,2016-10-09,west ham,watford,2,4,a,2,2,d,m atkinson,19,13,4,8,10,15,4,4,2,2,0,0,english premier league
e0,2016-11-09,swansea,chelsea,2,2,d,0,1,a,a marriner,6,28,2,7,17,8,1,11,3,4,0,0,english premier league
e0,2016-12-09,sunderland,everton,0,3,a,0,0,d,m jones,11,20,2,9,11,8,5,4,1,1,0,0,english premier league
e0,2016-09-16,chelsea,liverpool,1,2,a,0,2,a,m atkinson,12,13,4,5,6,13,6,4,1,1,0,0,english premier league
e0,2016-09-17,everton,middlesbrough,3,1,h,3,1,h,l mason,11,7,6,0,5,15,6,3,2,1,0,0,english premier league
e0,2016-09-17,hull,arsenal,1,4,a,0,1,a,r east,6,24,2,9,9,12,2,4,0,2,1,0,english premier league
e0,2016-09-17,leicester,burnley,3,0,h,1,0,h,a taylor,14,7,6,2,10,9,7,1,0,1,0,0,english premier league
e0,2016-09-17,man city,bournemouth,4,0,h,2,0,h,j moss,20,6,12,2,8,11,5,5,1,1,1,0,english premier league
e0,2016-09-17,west brom,west ham,4,2,h,3,0,h,m clattenburg,8,23,6,5,14,6,2,6,2,1,0,0,english premier league
e0,2016-09-18,crystal palace,stoke,4,1,h,2,0,h,c pawson,14,11,8,4,15,9,10,5,2,1,0,0,english premier league
e0,2016-09-18,southampton,swansea,1,0,h,0,0,d,m jones,19,9,6,3,14,9,7,1,1,1,0,0,english premier league
e0,2016-09-18,tottenham,sunderland,1,0,h,0,0,d,m dean,31,6,9,2,7,16,14,1,1,5,0,1,english premier league
e0,2016-09-18,watford,man united,3,1,h,1,0,h,m oliver,10,15,5,2,14,19,5,7,3,4,0,0,english premier league
e0,2016-09-24,arsenal,chelsea,3,0,h,3,0,h,m oliver,14,9,5,2,9,11,9,1,0,2,0,0,english premier league
e0,2016-09-24,bournemouth,everton,1,0,h,1,0,h,r madley,12,13,1,2,10,14,5,3,2,2,0,0,english premier league
e0,2016-09-24,liverpool,hull,5,1,h,3,0,h,a marriner,32,2,12,1,8,8,13,2,1,2,0,1,english premier league
